Id,lenm,cols,rows,cole,rowe
307,320,2296,5131,2296,5131
308,458,2281,5133,2280,5133
309,147,2243,5250,2243,5250
310,127,2164,5104,2164,5104
311,160,2172,5081,2172,5081
312,86,2199,5057,2198,5057
313,162,2176,5049,2176,5049
314,32,2170,5020,2170,5020
315,108,1962,5285,1962,5285
316,127,1954,5341,1954,5341
317,478,1947,5422,1948,5422
318,131,1908,5404,1908,5404
319,172,1818,5417,1818,5417
320,56,1595,5385,1595,5385
321,67,1384,5470,1384,5470
322,121,1419,5503,1419,5503
323,241,1442,5515,1442,5515
324,104,1450,5527,1450,5527
325,307,1438,5538,1438,5538
326,349,2120,5790,2120,5790
327,130,2074,5829,2074,5829
328,834,2032,5720,2032,5717
329,152,1983,5729,1983,5729
330,481,1937,5740,1937,5738
331,193,1870,5744,1870,5744
332,77,1837,5862,1837,5862
333,49,1886,5678,1886,5678
334,133,1861,5623,1861,5623
335,204,1819,5967,1819,5967
336,314,1733,5976,1733,5976
337,66,1571,5860,1571,5860
338,35,1533,5868,1533,5868
339,220,1513,5854,1513,5854
340,38,1534,5836,1534,5836
341,19,1540,5829,1540,5829
342,77,1492,6007,1492,6007
343,58,1474,5984,1474,5984
344,186,1455,5996,1455,5996
345,19,1539,6271,1539,6271
346,394,1088,6744,1089,6744
347,200,1056,6743,1056,6743
348,209,997,6786,997,6786
349,126,982,6833,982,6833
350,88,977,6855,977,6855
351,229,955,7029,955,7029
352,141,943,7027,943,7027
353,85,948,7013,948,7013
354,154,748,6787,748,6787
355,129,766,6789,766,6789
356,143,784,6766,784,6766
357,154,789,6750,789,6750
358,264,832,6713,832,6714
359,163,842,6717,842,6717
360,130,837,6705,837,6705
361,124,871,6742,871,6742
362,139,878,6714,878,6714
363,149,890,6692,890,6692
364,163,886,6618,886,6618
365,83,895,6613,895,6613
366,65,911,6574,911,6574
367,70,915,6509,915,6509
368,178,851,6499,851,6499
369,167,898,6410,898,6410
370,92,896,6379,896,6379
371,467,877,6367,877,6368
372,134,882,6355,882,6355
373,121,867,6338,867,6338
374,52,921,6308,921,6308
375,257,827,6269,827,6269
376,180,871,6244,871,6244
377,169,860,6236,860,6236
378,39,655,6311,655,6311
379,29,653,6158,653,6158
380,104,641,6064,641,6064
381,23,667,6088,667,6088
